FlightID,Airline,FlightNumber,ScheduledDeparture,DepartureDelay,ArrivalDelay,Cancelled,CancellationReason,OriginAirport,DestinationAirport
FL1000,Vistara,FN9935,2023-04-03 05:04:49,24.90142459033698,27.827460066666667,0,,CDG,BOM
FL1001,Turkish Airlines,FN1434,2023-04-22 18:23:57,29.430656143020776,57.276103983333336,0,,FRA,DXB
FL1002,Japan Airlines,FN5557,2023-03-28 16:21:18,2.975398758299921,4.4633443999999995,0,,HYD,SIN
FL1003,Emirates,FN6514,2023-07-24 05:39:39,57.37638446522175,73.8879054,0,,HKG,HKG
FL1004,IndiGo,FN8527,2025-05-21 09:37:51,-4.084231578048563,9.054169083333333,0,,BOM,DXB
FL1005,United Airlines,FN4150,2025-07-11 22:31:10,-3.9025307843738677,-5.888477083333333,0,,BOM,DXB
FL1006,Vistara,FN7227,2022-06-13 08:28:32,17.258868146981023,-6.440335516666667,0,Technical,DEL,CDG
FL1007,Singapore Airlines,FN2169,2023-12-29 07:37:40,-41.747534975390984,-45.18184791666667,0,,JFK,CDG
FL1008,Singapore Airlines,FN4598,2024-08-04 13:48:55,-20.384933610032714,-10.671223616666667,0,Technical,CDG,BLR
FL1009,Singapore Airlines,FN2084,2023-10-09 14:36:21,-17.240722265636325,-33.425277783333335,0,Weather,HKG,HKG
FL1010,Lufthansa,FN3340,2024-03-21 23:24:19,53.96946306764662,55.58281856666667,0,Technical,FRA,SIN
FL1011,Japan Airlines,FN7543,2025-04-12 15:35:55,12.025846140637714,-4.34537665,0,Technical,BLR,HYD
FL1012,AirAsia,FN3621,2022-04-07 03:59:31,-6.331481735755482,0.3323571166666667,0,Crew,HYD,BLR
FL1013,Singapore Airlines,FN1188,2024-08-16 19:15:52,-24.529807322669086,-13.894337049999999,0,,FRA,BOM
FL1014,Cathay Pacific,FN8123,2023-11-28 04:03:41,-8.01916069756415,-7.39456695,0,Weather,CDG,LAX
FL1015,KLM,FN2743,2024-10-22 06:30:16,-8.05119836688191,24.7329744,0,Technical,JFK,DEL
FL1016,KLM,FN1009,2022-11-27 19:38:17,9.595083257861983,-1.2705806833333333,0,,CDG,LAX
FL1017,IndiGo,FN4946,2023-09-22 08:43:05,34.67634736309567,21.363692616666665,0,,LHR,JFK
FL1018,AirAsia,FN8787,2024-12-26 04:34:43,16.26590785014266,-8.129144,0,,BOM,BOM
FL1019,Emirates,FN6107,2023-03-10 19:38:06,-29.845581466952915,-21.892662933333334,0,Crew,BLR,MAA
FL1020,Qatar Airways,FN4681,2024-07-13 04:24:20,32.15399739986231,39.72452161666667,0,,CDG,CDG
FL1021,SpiceJet,FN1964,2023-03-28 00:15:42,6.530551528352785,7.0139961,0,Weather,LHR,DEL
FL1022,Air France,FN4510,2023-05-03 10:08:20,-34.355659711022824,-40.15332283333333,0,,BOM,DEL
FL1023,Emirates,FN2545,2024-08-26 14:49:14,-3.8191631287936243,17.037670266666666,0,,BLR,SIN
FL1024,Vistara,FN1993,2022-04-21 23:47:29,20.308548687053843,-1.13705365,0,Crew,CDG,DXB
FL1025,ANA,FN8350,2023-01-28 06:55:31,19.72251908184385,18.94628488333333,0,Weather,SIN,LHR
FL1026,ANA,FN2604,2022-06-04 16:08:02,-10.307660009178761,3.867484316666667,0,,DXB,BLR
FL1027,British Airways,FN8956,2023-04-30 06:03:18,40.92998567487853,59.89918746666667,1,Crew,CDG,LAX
FL1028,Lufthansa,FN5673,2024-03-10 09:39:20,-15.176525696679157,-14.814711333333333,0,Crew,HYD,DXB
FL1029,Emirates,FN5861,2024-09-23 05:38:09,19.937902942106916,39.571079850000004,0,Weather,SIN,SIN
FL1030,IndiGo,FN8811,2023-10-05 02:04:52,-4.375227135358699,-2.1601117833333334,0,,DEL,FRA
FL1031,Turkish Airlines,FN2113,2023-01-16 02:29:41,-23.190049220180846,-36.13314858333333,0,Weather,LAX,BLR
FL1032,SpiceJet,FN7868,2022-03-23 22:33:03,34.37577467182594,59.7193751,0,,DXB,BOM
FL1033,Singapore Airlines,FN7484,2023-10-06 08:41:25,7.839696352589985,27.892689816666667,0,Weather,FRA,LAX
FL1034,Lufthansa,FN2638,2022-05-29 00:20:20,20.849080751429025,16.172284433333335,0,,CDG,CDG
FL1035,Qatar Airways,FN7054,2023-12-16 02:30:16,20.841868165252418,48.912416666666665,0,Technical,LAX,HYD
FL1036,KLM,FN1128,2025-06-06 23:48:37,8.925218826701453,37.39487366666666,0,,BLR,JFK
FL1037,ANA,FN3546,2022-08-25 03:53:49,-68.59235312269233,-51.26381555,0,Technical,MAA,CDG
FL1038,Singapore Airlines,FN9280,2025-11-08 23:05:30,12.611412047145137,13.126301783333334,0,Crew,MAA,FRA
FL1039,Air India,FN6464,2023-07-21 01:36:18,12.752823296065069,-12.060710416666666,0,Weather,MAA,DEL
FL1040,ANA,FN1158,2025-12-16 15:34:17,3.409843364874642,13.766531933333333,0,,CDG,MAA
FL1041,ANA,FN3426,2024-01-27 21:12:30,54.336821342245486,51.56276806666666,0,Crew,BOM,SIN
FL1042,Emirates,FN5088,2022-03-23 13:01:38,-14.254808086795627,-16.781163733333333,0,,BLR,DEL
FL1043,Qatar Airways,FN3662,2025-06-25 05:37:37,37.46206353106223,47.39333018333333,0,Weather,LHR,HKG
FL1044,Singapore Airlines,FN3608,2024-04-23 09:02:07,-5.892806113011165,6.806205383333333,0,,DXB,DEL
FL1045,Cathay Pacific,FN4728,2024-07-31 12:43:50,12.912326480441212,32.44200133333333,0,Weather,DXB,DEL
FL1046,United Airlines,FN9346,2022-05-23 10:09:45,-11.06159281632057,-10.976525016666667,0,Crew,DEL,CDG
FL1047,Japan Airlines,FN5349,2023-06-19 06:30:05,-1.7632445939647283,-18.715968816666667,0,,CDG,LAX
FL1048,Turkish Airlines,FN9379,2023-10-05 15:53:19,18.88360831193728,27.7994374,0,,BOM,FRA
FL1049,KLM,FN9821,2024-06-12 00:03:41,10.153403699273827,11.6345967,0,Weather,DXB,FRA
FL1050,Vistara,FN5920,2025-06-30 11:25:45,-32.46112226151243,-33.7708021,0,,LHR,DXB
FL1051,AirAsia,FN4143,2023-08-29 20:11:07,-0.281435495803084,-7.315594533333334,0,Crew,MAA,CDG
FL1052,Cathay Pacific,FN7653,2025-06-14 20:43:13,5.161428650019726,16.2221915,0,,CDG,DXB
FL1053,Delta Airlines,FN8618,2025-04-02 22:05:16,66.5855770363159,74.20424423333334,0,Crew,DEL,MAA
FL1054,SpiceJet,FN5649,2022-12-14 23:59:16,17.726511721682932,21.609822983333334,0,,JFK,CDG
FL1055,Qatar Airways,FN4262,2023-04-27 11:18:07,-47.56313645897124,-42.96084458333333,0,Weather,CDG,CDG
FL1056,British Airways,FN4185,2022-05-30 16:34:52,11.806906298230793,53.75553798333333,0,Crew,DEL,DEL
FL1057,British Airways,FN4585,2022-01-12 03:52:50,4.229171056566324,13.752381183333334,0,Weather,JFK,DXB
FL1058,Lufthansa,FN3184,2023-05-26 04:25:06,8.9586469088427,-3.57152365,0,Crew,HKG,SIN
FL1059,KLM,FN7991,2024-06-25 22:18:21,44.284684435450615,60.56367993333333,0,,CDG,LAX
FL1060,Singapore Airlines,FN9540,2023-06-15 09:00:06,33.73095841129141,25.090146583333333,0,Crew,JFK,BLR
FL1061,Singapore Airlines,FN6502,2023-08-09 08:32:15,52.08382932808298,36.05606338333334,0,Technical,CDG,HYD
FL1062,Emirates,FN2052,2025-11-22 05:33:48,27.605712814008108,65.4625472,0,Crew,LAX,BOM
FL1063,American Airlines,FN1320,2023-02-28 15:17:49,-19.71608975392065,-23.2105557,0,,DXB,LHR
FL1064,ANA,FN9947,2024-03-09 15:15:21,12.989540952629238,10.437406133333333,0,,DXB,JFK
FL1065,Delta Airlines,FN7624,2022-03-01 14:09:28,-36.51990293198398,-30.49145831666667,0,Weather,HYD,JFK
FL1066,Japan Airlines,FN1444,2024-03-17 21:33:00,-21.869111411783145,-9.76522495,0,,JFK,BLR
FL1067,American Airlines,FN6363,2022-04-13 09:28:19,-17.582727027014094,10.66628905,0,Weather,CDG,DXB
