AirportID,IATA_CODE,AirportName,City,Country
AP121,DEL,Indira Gandhi International,New Delhi,India
AP881,BOM,Chhatrapati Shivaji,Mumbai,India
AP447,BLR,Kempegowda International,Bengaluru,India
AP120,HYD,Rajiv Gandhi International,Hyderabad,India
AP237,MAA,Chennai International,Chennai,India
AP890,LHR,Heathrow,London,UK
AP573,DXB,Dubai International,Dubai,UAE
AP883,JFK,John F. Kennedy International,New York,USA
AP271,LAX,Los Angeles International,Los Angeles,USA
AP940,FRA,Frankfurt International,Frankfurt,Germany
AP921,CDG,Charles de Gaulle,Paris,France
AP438,SIN,Changi International,Singapore,Singapore
AP762,HKG,Hong Kong International,Hong Kong,China
AP548,DEL,Indira Gandhi International,New Delhi,India
AP915,BOM,Chhatrapati Shivaji,Mumbai,India
AP567,BLR,Kempegowda International,Bengaluru,India
AP898,HYD,Rajiv Gandhi International,Hyderabad,India
AP276,MAA,Chennai International,Chennai,India
AP543,LHR,Heathrow,London,UK
AP185,DXB,Dubai International,Dubai,UAE
AP976,JFK,John F. Kennedy International,New York,USA
AP719,LAX,Los Angeles International,Los Angeles,USA
AP425,FRA,Frankfurt International,Frankfurt,Germany
AP644,CDG,Charles de Gaulle,Paris,France
AP828,SIN,Changi International,Singapore,Singapore
AP416,HKG,Hong Kong International,Hong Kong,China
AP898,DEL,Indira Gandhi International,New Delhi,India
AP348,BOM,Chhatrapati Shivaji,Mumbai,India
AP496,BLR,Kempegowda International,Bengaluru,India
AP215,HYD,Rajiv Gandhi International,Hyderabad,India
AP817,MAA,Chennai International,Chennai,India
AP266,LHR,Heathrow,London,UK
AP608,DXB,Dubai International,Dubai,UAE
AP294,JFK,John F. Kennedy International,New York,USA
AP458,LAX,Los Angeles International,Los Angeles,USA
AP674,FRA,Frankfurt International,Frankfurt,Germany
AP466,CDG,Charles de Gaulle,Paris,France
AP918,SIN,Changi International,Singapore,Singapore
AP657,HKG,Hong Kong International,Hong Kong,China
AP772,DEL,Indira Gandhi International,New Delhi,India
AP250,BOM,Chhatrapati Shivaji,Mumbai,India
AP397,BLR,Kempegowda International,Bengaluru,India
AP299,HYD,Rajiv Gandhi International,Hyderabad,India
AP405,MAA,Chennai International,Chennai,India
AP638,LHR,Heathrow,London,UK
AP991,DXB,Dubai International,Dubai,UAE
AP256,JFK,John F. Kennedy International,New York,USA
AP246,LAX,Los Angeles International,Los Angeles,USA
AP637,FRA,Frankfurt International,Frankfurt,Germany
AP943,CDG,Charles de Gaulle,Paris,France
AP107,SIN,Changi International,Singapore,Singapore
